metric,mean,std,max,min
loss,0.6728,0.0898,0.8411,0.5490
accuracy,0.8159,0.0150,0.8434,0.7912
recall,0.8159,0.0150,0.8434,0.7912
precision,0.8233,0.0126,0.8458,0.7981
f1,0.8092,0.0157,0.8349,0.7822
