metric,mean,std,max,min
loss,0.9675,0.1403,1.2137,0.7656
accuracy,0.6715,0.0297,0.7295,0.6303
recall,0.6715,0.0297,0.7295,0.6303
precision,0.6831,0.0267,0.7344,0.6496
f1,0.6554,0.0359,0.7192,0.5985
