metric,mean,std,max,min
loss,0.3991,0.0573,0.4947,0.3328
accuracy,0.8757,0.0094,0.8883,0.8610
recall,0.8757,0.0094,0.8883,0.8610
precision,0.8774,0.0111,0.8909,0.8584
f1,0.8734,0.0108,0.8872,0.8560
