metric,mean,std,max,min
loss,0.6545,0.0692,0.7564,0.5088
accuracy,0.7781,0.0302,0.8254,0.7175
recall,0.7781,0.0302,0.8254,0.7175
precision,0.7843,0.0299,0.8315,0.7197
f1,0.7762,0.0315,0.8255,0.7126
