metric,mean,std,max,min
loss,0.3530,0.0536,0.4559,0.2662
accuracy,0.8807,0.0153,0.8947,0.8446
recall,0.8807,0.0153,0.8947,0.8446
precision,0.8884,0.0150,0.9153,0.8519
f1,0.8800,0.0144,0.8995,0.8451
