metric,mean,std,max,min
loss,0.4219,0.0762,0.5893,0.3361
accuracy,0.8543,0.0259,0.8762,0.7937
recall,0.8543,0.0259,0.8762,0.7937
precision,0.8675,0.0181,0.8884,0.8323
f1,0.8531,0.0266,0.8742,0.7928
