metric,mean,std,max,min
loss,1.2282,0.1448,1.5808,1.0165
accuracy,0.5874,0.0328,0.6401,0.5220
recall,0.5874,0.0328,0.6401,0.5220
precision,0.5890,0.0481,0.6961,0.5326
f1,0.5509,0.0395,0.6170,0.4973
