metric,mean,std,max,min
loss,0.3503,0.0426,0.4112,0.2810
accuracy,0.8825,0.0122,0.8945,0.8585
recall,0.8825,0.0122,0.8945,0.8585
precision,0.8884,0.0111,0.9028,0.8697
f1,0.8824,0.0122,0.8951,0.8582
