metric,mean,std,max,min
loss,0.5711,0.0610,0.6559,0.4384
accuracy,0.8029,0.0155,0.8254,0.7841
recall,0.8029,0.0155,0.8254,0.7841
precision,0.8113,0.0154,0.8394,0.7929
f1,0.8010,0.0151,0.8235,0.7834
