metric,mean,std,max,min
loss,1.1309,0.3765,1.9321,0.6631
accuracy,0.6681,0.0664,0.7650,0.5276
recall,0.6681,0.0664,0.7650,0.5276
precision,0.7038,0.0334,0.7815,0.6558
f1,0.6606,0.0604,0.7640,0.5280
