metric,mean,std,max,min
loss,0.6804,0.1327,0.9470,0.4857
accuracy,0.7117,0.0639,0.8063,0.5905
recall,0.7117,0.0639,0.8063,0.5905
precision,0.7348,0.0405,0.8065,0.6886
f1,0.6969,0.0831,0.8056,0.5263
