metric,mean,std,max,min
loss,1.4755,0.2744,1.9635,1.1397
accuracy,0.7309,0.0227,0.7772,0.7035
recall,0.7309,0.0227,0.7772,0.7035
precision,0.7766,0.0133,0.8031,0.7553
f1,0.7296,0.0237,0.7728,0.7009
