metric,mean,std,max,min
loss,0.4606,0.0855,0.5821,0.3373
accuracy,0.8628,0.0111,0.8809,0.8437
recall,0.8628,0.0111,0.8809,0.8437
precision,0.8648,0.0133,0.8811,0.8405
f1,0.8606,0.0112,0.8762,0.8413
