metric,mean,std,max,min
loss,1.1930,0.5449,2.3315,0.6510
accuracy,0.6627,0.0985,0.7794,0.4737
recall,0.6627,0.0985,0.7794,0.4737
precision,0.7262,0.0529,0.7963,0.6390
f1,0.6607,0.0962,0.7792,0.4777
