metric,mean,std,max,min
loss,0.3560,0.0716,0.4409,0.2198
accuracy,0.8830,0.0147,0.9123,0.8647
recall,0.8830,0.0147,0.9123,0.8647
precision,0.8909,0.0122,0.9169,0.8764
f1,0.8828,0.0147,0.9126,0.8677
