metric,mean,std,max,min
loss,1.0993,0.1375,1.4278,0.8658
accuracy,0.6895,0.0363,0.7238,0.5937
recall,0.6895,0.0363,0.7238,0.5937
precision,0.7065,0.0329,0.7425,0.6213
f1,0.6809,0.0384,0.7125,0.5788
