metric,mean,std,max,min
loss,0.8256,0.1118,1.0137,0.6796
accuracy,0.7213,0.0395,0.7717,0.6600
recall,0.7213,0.0395,0.7717,0.6600
precision,0.7398,0.0325,0.7762,0.6647
f1,0.7072,0.0451,0.7636,0.6274
