metric,mean,std,max,min
loss,0.3840,0.0530,0.4677,0.2893
accuracy,0.8730,0.0159,0.9079,0.8508
recall,0.8730,0.0159,0.9079,0.8508
precision,0.8821,0.0138,0.9097,0.8602
f1,0.8732,0.0162,0.9083,0.8508
