metric,mean,std,max,min
loss,0.4342,0.0803,0.5853,0.3358
accuracy,0.8565,0.0255,0.8889,0.8190
recall,0.8565,0.0255,0.8889,0.8190
precision,0.8605,0.0246,0.8898,0.8216
f1,0.8556,0.0266,0.8891,0.8186
