metric,mean,std,max,min
loss,1.2278,0.2165,1.5719,0.8570
accuracy,0.6198,0.0605,0.7419,0.5188
recall,0.6198,0.0605,0.7419,0.5188
precision,0.6417,0.0609,0.7626,0.5225
f1,0.6007,0.0612,0.7296,0.4807
