metric,mean,std,max,min
loss,1.0208,0.0851,1.2006,0.8971
accuracy,0.6472,0.0245,0.6882,0.5995
recall,0.6472,0.0245,0.6882,0.5995
precision,0.6561,0.0286,0.7045,0.6007
f1,0.6260,0.0233,0.6636,0.5747
