metric,mean,std,max,min
loss,1.0927,0.2644,1.7814,0.8826
accuracy,0.6456,0.0373,0.6896,0.5852
recall,0.6456,0.0373,0.6896,0.5852
precision,0.6627,0.0409,0.7375,0.6078
f1,0.6288,0.0391,0.6995,0.5585
