metric,mean,std,max,min
loss,0.6000,0.0448,0.6900,0.5315
accuracy,0.8495,0.0112,0.8626,0.8297
recall,0.8495,0.0112,0.8626,0.8297
precision,0.8527,0.0122,0.8674,0.8296
f1,0.8470,0.0107,0.8616,0.8269
