metric,mean,std,max,min
loss,0.3514,0.0442,0.4039,0.2419
accuracy,0.8820,0.0146,0.9065,0.8537
recall,0.8820,0.0146,0.9065,0.8537
precision,0.8893,0.0123,0.9100,0.8699
f1,0.8817,0.0153,0.9073,0.8518
