metric,mean,std,max,min
loss,0.5659,0.0663,0.6982,0.4798
accuracy,0.8574,0.0121,0.8764,0.8352
recall,0.8574,0.0121,0.8764,0.8352
precision,0.8594,0.0129,0.8771,0.8331
f1,0.8549,0.0131,0.8741,0.8309
