metric,mean,std,max,min
loss,0.7762,0.1949,1.1292,0.4826
accuracy,0.8125,0.0192,0.8397,0.7885
recall,0.8125,0.0192,0.8397,0.7885
precision,0.8393,0.0089,0.8522,0.8207
f1,0.8140,0.0166,0.8403,0.7911
