metric,mean,std,max,min
loss,1.5740,0.0000,1.5740,1.5740
accuracy,0.4667,0.0000,0.4667,0.4667
recall,0.4667,0.0000,0.4667,0.4667
precision,0.3626,0.0000,0.3626,0.3626
f1,0.3702,0.0000,0.3702,0.3702
