metric,mean,std,max,min
loss,0.4618,0.0719,0.6486,0.3804
accuracy,0.8298,0.0209,0.8635,0.7810
recall,0.8298,0.0209,0.8635,0.7810
precision,0.8335,0.0205,0.8634,0.7834
f1,0.8293,0.0211,0.8633,0.7800
