metric,mean,std,max,min
loss,0.7009,0.1922,0.9489,0.4104
accuracy,0.7969,0.0519,0.8777,0.7098
recall,0.7969,0.0519,0.8777,0.7098
precision,0.8228,0.0380,0.8820,0.7676
f1,0.7956,0.0518,0.8768,0.7227
