metric,mean,std,max,min
loss,0.6779,0.1428,0.9273,0.4687
accuracy,0.7375,0.0471,0.8190,0.6667
recall,0.7375,0.0471,0.8190,0.6667
precision,0.7624,0.0478,0.8460,0.6726
f1,0.7310,0.0512,0.8152,0.6581
