metric,mean,std,max,min
loss,0.3904,0.0471,0.5014,0.3434
accuracy,0.9013,0.0105,0.9148,0.8747
recall,0.9013,0.0105,0.9148,0.8747
precision,0.9059,0.0082,0.9167,0.8871
f1,0.8999,0.0102,0.9128,0.8746
