metric,mean,std,max,min
loss,0.8897,0.1433,1.2079,0.7054
accuracy,0.7105,0.0361,0.7644,0.6216
recall,0.7105,0.0361,0.7644,0.6216
precision,0.7350,0.0295,0.7938,0.7010
f1,0.6973,0.0335,0.7574,0.6280
