metric,mean,std,max,min
loss,0.4017,0.0706,0.5175,0.2854
accuracy,0.8753,0.0189,0.9041,0.8489
recall,0.8753,0.0189,0.9041,0.8489
precision,0.8837,0.0157,0.9050,0.8600
f1,0.8747,0.0194,0.9034,0.8441
