metric,mean,std,max,min
loss,0.9209,0.1125,1.1536,0.7203
accuracy,0.6849,0.0478,0.7445,0.5659
recall,0.6849,0.0478,0.7445,0.5659
precision,0.7094,0.0387,0.7756,0.6234
f1,0.6751,0.0433,0.7422,0.5742
