metric,mean,std,max,min
loss,0.9343,0.2325,1.5319,0.6621
accuracy,0.6876,0.0575,0.7494,0.5583
recall,0.6876,0.0575,0.7494,0.5583
precision,0.7125,0.0463,0.7546,0.6121
f1,0.6781,0.0525,0.7385,0.5566
