metric,mean,std,max,min
loss,1.0844,0.2745,1.7797,0.7937
accuracy,0.6600,0.0569,0.7386,0.5540
recall,0.6600,0.0569,0.7386,0.5540
precision,0.6872,0.0449,0.7542,0.6022
f1,0.6506,0.0535,0.7348,0.5609
