metric,mean,std,max,min
loss,1.1300,0.1269,1.3954,0.9691
accuracy,0.6087,0.0378,0.6799,0.5533
recall,0.6087,0.0378,0.6799,0.5533
precision,0.6124,0.0415,0.6967,0.5463
f1,0.5844,0.0391,0.6561,0.5345
