metric,mean,std,max,min
loss,0.4754,0.0710,0.5981,0.3663
accuracy,0.8628,0.0099,0.8784,0.8462
recall,0.8628,0.0099,0.8784,0.8462
precision,0.8659,0.0099,0.8774,0.8454
f1,0.8604,0.0106,0.8733,0.8407
