metric,mean,std,max,min
loss,0.5969,0.1668,0.9275,0.3750
accuracy,0.8236,0.0468,0.8797,0.7118
recall,0.8236,0.0468,0.8797,0.7118
precision,0.8451,0.0305,0.8881,0.8013
f1,0.8257,0.0432,0.8773,0.7277
