metric,mean,std,max,min
loss,1.2804,0.1084,1.4896,1.0377
accuracy,0.5799,0.0268,0.6391,0.5489
recall,0.5799,0.0268,0.6391,0.5489
precision,0.5910,0.0266,0.6393,0.5449
f1,0.5558,0.0292,0.6193,0.4971
