metric,mean,std,max,min
loss,0.5120,0.0714,0.6493,0.4278
accuracy,0.8098,0.0325,0.8667,0.7619
recall,0.8098,0.0325,0.8667,0.7619
precision,0.8165,0.0333,0.8737,0.7715
f1,0.8084,0.0332,0.8663,0.7600
