metric,mean,std,max,min
loss,1.2502,0.1315,1.5115,1.1204
accuracy,0.5751,0.0397,0.6187,0.4796
recall,0.5751,0.0397,0.6187,0.4796
precision,0.5693,0.0485,0.6475,0.4842
f1,0.5460,0.0391,0.5929,0.4614
