metric,mean,std,max,min
loss,0.5741,0.1172,0.7864,0.4200
accuracy,0.7975,0.0520,0.8667,0.7143
recall,0.7975,0.0520,0.8667,0.7143
precision,0.8169,0.0370,0.8739,0.7538
f1,0.7935,0.0571,0.8669,0.7026
