metric,mean,std,max,min
loss,0.3815,0.0432,0.4377,0.2999
accuracy,0.8942,0.0109,0.9209,0.8753
recall,0.8942,0.0109,0.9209,0.8753
precision,0.8996,0.0101,0.9231,0.8860
f1,0.8930,0.0111,0.9210,0.8775
1,0.8945,0.9014,0.8945,0.8956
2,0.9209,0.9231,0.9209,0.9210
3,0.8897,0.8879,0.8897,0.8860
4,0.8897,0.8923,0.8897,0.8854
5,0.8993,0.9066,0.8993,0.8974
6,0.8921,0.8984,0.8921,0.8888
7,0.8921,0.8997,0.8921,0.8926
8,0.8753,0.8860,0.8753,0.8775
9,0.8897,0.8959,0.8897,0.8870
10,0.8993,0.9043,0.8993,0.8985
