metric,mean,std,max,min
loss,0.6136,0.1249,0.7478,0.4068
accuracy,0.8268,0.0236,0.8561,0.7816
recall,0.8268,0.0236,0.8561,0.7816
precision,0.8370,0.0214,0.8699,0.8113
f1,0.8228,0.0244,0.8542,0.7826
