metric,mean,std,max,min
loss,1.0627,0.0937,1.2519,0.9399
accuracy,0.6437,0.0232,0.6868,0.6071
recall,0.6437,0.0232,0.6868,0.6071
precision,0.6436,0.0254,0.6796,0.6019
f1,0.6188,0.0277,0.6639,0.5700
